"date","initiative_id","initiative_type","metric_name","department","responsible_team","target_value","metric_value","completion_percentage","impact_value","status"
2013-01-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,9.3,9.3,130858,"Not Started"
2013-01-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,0,0,0,"Not Started"
2013-01-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,5,5,0,"Not Started"
2013-01-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,1.74,1.74,0,"Not Started"
2013-01-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,12.86,12.86,310374,"Not Started"
2013-01-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,10,10,1e+05,"Not Started"
2013-01-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,5.43,5.43,1e+05,"Not Started"
2013-01-01,"REG001","sensing","compliance_score","Legal","Compliance",100,12.91,12.91,0,"Not Started"
2013-01-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,7.63,7.63,0,"Not Started"
2013-02-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,8.32,8.32,1e+05,"Not Started"
2013-02-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,0,0,0,"Not Started"
2013-02-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,5.96,5.96,0,"Not Started"
2013-02-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,0,0,0,"Not Started"
2013-02-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,12.12,12.12,232522,"Not Started"
2013-02-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,10,10,155983,"Not Started"
2013-02-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,5,5,167245,"Not Started"
2013-02-01,"REG001","sensing","compliance_score","Legal","Compliance",100,10,10,0,"Not Started"
2013-02-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,5,5,0,"Not Started"
2013-03-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,2.62,2.62,175938,"Not Started"
2013-03-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,9.98,9.98,0,"Not Started"
2013-03-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,12.3,12.3,0,"Not Started"
2013-03-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,6.19,6.19,0,"Not Started"
2013-03-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,10,10,253812,"Not Started"
2013-03-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,16.34,16.34,201460,"Not Started"
2013-03-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,11.12,11.12,110485,"Not Started"
2013-03-01,"REG001","sensing","compliance_score","Legal","Compliance",100,25.51,25.51,0,"In Progress"
2013-03-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,12.24,12.24,0,"Not Started"
2013-04-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,1.06,1.06,307579,"Not Started"
2013-04-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,0.59,0.59,0,"Not Started"
2013-04-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,9.99,9.99,0,"Not Started"
2013-04-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,3.27,3.27,0,"Not Started"
2013-04-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,15.54,15.54,115985,"Not Started"
2013-04-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,10,10,290558,"Not Started"
2013-04-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,15.09,15.09,171559,"Not Started"
2013-04-01,"REG001","sensing","compliance_score","Legal","Compliance",100,27.46,27.46,0,"In Progress"
2013-04-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,7.25,7.25,0,"Not Started"
2013-05-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,4.21,4.21,190478,"Not Started"
2013-05-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,6.47,6.47,0,"Not Started"
2013-05-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,14.89,14.89,0,"Not Started"
2013-05-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,1.2,1.2,0,"Not Started"
2013-05-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,15.89,15.89,187010,"Not Started"
2013-05-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,17.24,17.24,367283,"Not Started"
2013-05-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,18.38,18.38,429792,"Not Started"
2013-05-01,"REG001","sensing","compliance_score","Legal","Compliance",100,12.05,12.05,0,"Not Started"
2013-05-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,14.91,14.91,0,"Not Started"
2013-06-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,10.13,10.13,271575,"Not Started"
2013-06-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,17.13,17.13,0,"Not Started"
2013-06-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,18.12,18.12,0,"Not Started"
2013-06-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,9.59,9.59,0,"Not Started"
2013-06-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,18.61,18.61,519119,"Not Started"
2013-06-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,20.11,20.11,328648,"Not Started"
2013-06-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,5.86,5.86,365615,"Not Started"
2013-06-01,"REG001","sensing","compliance_score","Legal","Compliance",100,21.04,21.04,0,"Not Started"
2013-06-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,18.7,18.7,0,"Not Started"
2013-07-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,9.8,9.8,233515,"Not Started"
2013-07-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,10.42,10.42,0,"Not Started"
2013-07-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,22.95,22.95,0,"Not Started"
2013-07-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,19.12,19.12,0,"Not Started"
2013-07-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,15.83,15.83,238690,"Not Started"
2013-07-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,23.25,23.25,335317,"Not Started"
2013-07-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,17.61,17.61,138788,"Not Started"
2013-07-01,"REG001","sensing","compliance_score","Legal","Compliance",100,19.95,19.95,0,"Not Started"
2013-07-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,11.65,11.65,0,"Not Started"
2013-08-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,11.18,11.18,416642,"Not Started"
